Vin_A,Vin_B,Vin_C,Vin_D,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp,xj_n,xj_p,ndep_n,ndep_p,Leakage_power
0,0,0,0,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,1.3007038876675397e-10
0,0,0,1,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,3.8840515731937213e-10
0,0,1,0,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,3.644258428626648e-10
0,0,1,1,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,7.566830129016234e-10
0,1,0,0,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,3.619376839606253e-10
0,1,0,1,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,8.381106243732748e-10
0,1,1,0,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,7.87374790242633e-10
0,1,1,1,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,1.6018664300153802e-09
1,0,0,0,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,5.049235615928925e-10
1,0,0,1,-54.466209071532944,1.0146937764184996,4.452941118896466e-08,4.466784997110598e-08,1.2505394608855556e-09,1.2708036409122486e-09,1.2722449311774393e-09,1.1965978821371605e-09,1.2614863903975961e-09,1.303169196943865e-09,1.0552066898782186e-09,1.3677005799888677e-08,1.3461716328290119e-08,3.3176601453712123e+18,2.466934579922291e+18,1.1803882746877813e-09
